RecordID,Timestamp,ConsumerID,Consumption_Liters,ConsumerType,Location
5930591,2023-07-27 07:45:45,29561,2251,Residential,East Deborah
65864395,2023-06-17 18:33:19,62540,2919,Commercial,Katrinaland
73177239,2023-06-30 17:00:14,73762,844,Commercial,North Cameronmouth
57507798,2023-04-07 20:31:51,11461,7269,Industrial,West Justinfurt
85602625,2023-06-09 12:49:49,21962,2975,Industrial,West Sarah
72440813,2023-06-09 05:58:21,72845,1297,Industrial,South Sarah
14463311,2023-11-20 23:13:02,5334,233,Industrial,West Eduardoton
79425927,2023-01-18 12:33:48,51961,2503,Commercial,New Christopherview
30162473,2023-05-13 09:29:57,5549,8005,Commercial,New Sharon
28177581,2023-05-12 16:24:25,49930,611,Residential,Morganmouth
81593246,2023-06-20 01:04:37,83265,9184,Industrial,Markchester
88429081,2023-11-28 22:35:04,24384,7619,Residential,South Sarah
31652037,2023-02-26 12:12:04,96071,6788,Commercial,Walkershire
81700126,2023-01-04 18:29:55,70620,7496,Industrial,Jacobbury
28120304,2023-11-26 05:00:49,59432,7217,Commercial,Brandonmouth
73649981,2023-01-06 23:28:42,44293,1166,Industrial,West David
52015970,2023-09-14 06:12:29,22381,4274,Commercial,Michaelbury
36644106,2023-02-13 00:58:42,77819,1929,Industrial,South Antonioview
86012045,2023-02-06 19:27:29,5881,5536,Industrial,Lake Dwayneview
93897163,2023-02-17 10:06:51,80489,8793,Commercial,North April
5714072,2023-03-13 00:54:52,84671,9606,Industrial,North Veronica
76604688,2023-10-27 23:12:15,29626,1115,Residential,Clarkstad
97632010,2023-12-11 12:32:55,31880,8405,Commercial,North Jessica
38624224,2023-03-22 05:16:28,42442,6232,Residential,Brownberg
50790039,2023-12-05 03:17:58,57201,6326,Residential,Kimberlyfurt
46731899,2023-11-30 08:06:06,72006,3056,Commercial,Nelsonstad
36861593,2023-05-11 07:21:29,59975,5876,Residential,Fishertown
85141332,2023-02-24 10:13:33,50982,1855,Commercial,Garyshire
35829267,2023-06-24 01:28:00,14983,1438,Industrial,Reginashire
36794501,2023-11-21 14:48:41,20494,6216,Commercial,North Brandonhaven
93109216,2023-08-14 02:17:23,65436,2088,Residential,South Daleville
61289510,2023-10-29 15:28:19,12516,5546,Commercial,Sellershaven
8628650,2023-12-11 19:11:07,61576,8586,Commercial,North Erikton
26559630,2023-12-18 05:02:38,24534,5644,Commercial,Timothyfort
47456157,2023-07-29 16:24:32,58649,5003,Industrial,Johnsonborough
43423402,2023-09-30 14:56:20,93194,8689,Commercial,South Troy
29227669,2023-04-09 01:34:26,35102,7367,Industrial,Carterland
37499416,2023-11-15 00:28:20,78236,572,Industrial,Lake Barbara
58863786,2023-04-10 17:52:51,93949,9696,Residential,North Steven
21424805,2023-10-03 11:11:22,6847,5037,Commercial,Josephberg
56822782,2023-01-03 17:33:15,58603,4445,Industrial,Clarkchester
96319518,2023-05-25 17:22:38,20481,6987,Residential,Lopezview
95910909,2023-09-15 13:37:36,98058,199,Industrial,Kelseytown
86734032,2023-01-28 01:56:33,55743,8350,Residential,Joshuafurt
21066057,2023-04-16 14:14:25,56031,8070,Residential,Raymondberg
69899714,2023-09-19 02:45:24,58250,5421,Commercial,Christopherbury
